Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	se_sense	se_antisense	failed	pe_sense	pe_antisense
ERX4581843	21554559.0	714845.0	16522597.0	4073321.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209236.0	33073.0	1487.0	3.3164445628416708	21554559.0	17481238.0	81.1	4073321.0	18.9	ERX4581843_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21554559.0	0.0	20-36	49.0	14.701415796821612	35.31874848378944	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	2.6	22855636	6792753	22855636	822802896	46614014	766945777	6.788639086170645	0.0069	0.4509	0.5422		
ERX4581844	35561267.0	1101962.0	26971755.0	7064045.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	352705.0	68719.0	2081.0	3.098770355960601	35561267.0	28497222.0	80.14	7064045.0	19.86	ERX4581844_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35561267.0	0.0	20-36	49.0	13.235719276134713	35.283767560925206	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	2.6	38377731	11585277	38377731	1381598316	98806127	1266606951	8.323067831533171	0.0067	0.4779	0.5154		
ERX4581845	15907851.0	501882.0	12427263.0	2826855.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125502.0	25443.0	906.0	3.154932743586799	15907851.0	13080996.0	82.23	2826855.0	17.77	ERX4581845_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15907851.0	0.0	20-36	49.0	15.522219580932765	35.36003775745699	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	2.6	16691066	4814502	16691066	600878376	28725700	565971478	5.809311733328211	0.0042	0.4457	0.55		
ERX4581846	19097847.0	540456.0	14855572.0	3488438.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	186017.0	26152.0	1212.0	2.8299315624426145	19097847.0	15609409.0	81.73	3488438.0	18.27	ERX4581846_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19097847.0	0.0	20-36	49.0	14.284528591253853	35.33368373932412	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	2.6	20193736	5998433	20193736	726974496	39477244	679626751	6.512985704521881	0.0064	0.4465	0.547		
ERX4581847	20487192.0	868234.0	19032930.0	312207.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	240764.0	31607.0	1450.0	4.237935584339718	20487192.0	20174985.0	98.48	312207.0	1.52	ERX4581847_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20487192.0	0.0	20-36	50.0	3.8945998549048544	35.56242895561285	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	21012879	6383269	21012879	756463644	8100079	729866102	3.51603705094914	0.0074	0.124	0.8686		
ERX4581848	15865798.0	746528.0	14652205.0	215121.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	220714.0	30123.0	1107.0	4.705266006790203	15865798.0	15650677.0	98.64	215121.0	1.36	ERX4581848_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15865798.0	0.0	20-36	50.0	4.3603767692257165	35.56713207870162	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	2.6	16163409	4873251	16163409	581882724	5135666	565130942	2.8788931702327014	0.0088	0.1298	0.8615		
ERX4581849	19406275.0	846681.0	17797250.0	527116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	198840.0	35017.0	1371.0	4.36292384808522	19406275.0	18879159.0	97.28	527116.0	2.72	ERX4581849_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	19406275.0	0.0	20-36	50.0	4.867167503790048	35.530096064288486	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	2.6	20067164	6137170	20067164	722417904	12251756	691399164	4.293739098692106	0.006	0.2019	0.7921		
ERX4581850	18371792.0	941265.0	16826073.0	358362.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209388.0	35393.0	1311.0	5.123425085587732	18371792.0	18013430.0	98.05	358362.0	1.95	ERX4581850_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18371792.0	0.0	20-36	50.0	4.865731466303667	35.540370748808826	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	2.6	18674602	5528938	18674602	672285672	9270274	654399021	2.6605729892753094	0.0065	0.2017	0.7917		
ERX4581851	20163450.0	936963.0	18464446.0	475440.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	247374.0	37826.0	1401.0	4.646838710637317	20163450.0	19688010.0	97.64	475440.0	2.36	ERX4581851_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20163450.0	0.0	20-36	50.0	4.76808272534014	35.527779224289496	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	2.6	20630770	6151131	20630770	742707720	13440256	718473657	3.262934038170493	0.0072	0.1978	0.795		
ERX4581852	16798698.0	809483.0	15421977.0	331183.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202982.0	32008.0	1065.0	4.818724641635917	16798698.0	16467515.0	98.03	331183.0	1.97	ERX4581852_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16798698.0	0.0	20-36	50.0	4.819928697984848	35.533795119121734	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass	2.6	17059303	5129203	17059303	614134908	8126612	598212552	2.5926479333104444	0.0075	0.1969	0.7956		
