Geneid,ERX4581842,ERX4581846,ERX4581839,ERX4581843,ERX4581847,ERX4581840,ERX4581848,ERX4581841,ERX4581845,ERX4581850,ERX4581854,ERX4581858,ERX4581855,ERX4581851,ERX4581859,ERX4581852,ERX4581856,ERX4581860,ERX4581853,ERX4581857,ERX4581861,ERX7722950,ERX7722951,ERX7722953,ERX7722954,ERX7722955,SRX10828565,SRX10828566,SRX13376825,SRX13376826,SRX13376837,SRX13376838,SRX13376839,SRX13376840,SRX13376841,SRX13376843,SRX13376844,SRX13376845,SRX2656779,SRX2656780,SRX2656781,SRX2656782,SRX2656783,SRX2656784,SRX3343296,SRX3343297,SRX3343298,SRX3353470,SRX3353471,SRX3353474,SRX3353475,SRX4965409,SRX4965411,SRX4965412,SRX5029495,SRX5029496,SRX529234,SRX529235,SRX529236,SRX529237,SRX529238,SRX529239,SRX529240,SRX529241,SRX5562272,SRX5562273,SRX5562274,SRX5562275,SRX9633997,SRX9633998,SRX9633999,SRX9634004,SRX9634005,SRX9634006,SRX9634007
SAOUHSC_00012,7.426991494743388,8.065455005565255,7.069750033332411,7.717196517248274,7.127190087355664,7.006581728814519,7.323079794208804,6.521484789382486,7.091115762065222,7.285598605472744,6.874431741585314,6.962534964759455,7.188411020393183,7.36588340068275,7.103961795371688,6.912425543656012,6.682130184924705,7.060989596052436,6.839439106685402,6.76656274333845,7.019548506335092,9.01782672433123,8.958361971017426,8.733129528629245,8.410336099065809,8.73074981154371,6.17763127146378,5.994329814919158,5.718525757145718,5.584928711436008,7.394150982662681,7.485650701619022,7.589225678487598,7.221544556087652,7.345432209014768,5.248050966374492,5.208752672465268,5.199259872021419,4.724571764745512,4.514827704452435,3.916379905990951,4.261772989801681,4.466033098102028,3.995170214328868,3.900315794408194,4.314799885640626,4.514597122313464,3.412975546949156,2.7890452844333944,4.446897076232098,4.304037931932953,3.7763522042527016,3.7885715781797984,2.513343777048984,2.8470780062590264,2.878283011122151,7.696082089228953,7.649576672944829,7.889384750316143,7.05758873945994,7.890093740874958,7.348786407162783,7.820912356772059,7.932435008341441,7.528647123631622,7.622258966241892,6.913288929984851,7.529853049290126,4.557706496127235,4.56407636395615,3.931951701584071,3.868762590187194,4.059632301060579,3.386562713811067,3.373534834344269
SAOUHSC_00013,5.011855352801966,5.620543683047234,4.88889338249839,5.535658104034006,5.094690772598076,6.122075323166263,6.41445451412184,5.923169774748339,6.085524290948736,6.3896589971228615,6.100606394125425,6.463259523554139,6.692915376538709,6.5837344450007205,6.42305056750097,6.827678754330068,6.365639227540027,6.589178875724041,6.305190882656076,6.75694210032156,6.697145333606432,6.867695926868982,6.847095771902908,6.935996527050027,6.782759167877801,6.851448094034816,4.742652040154265,4.760709445718442,4.570820460617235,4.33870047853788,6.128801360645996,5.531278163542217,6.035205011230076,5.701919835868303,5.634306753978592,4.393724055140732,4.330971558604823,4.539910553383432,6.050589990709121,5.382135740756721,4.517710455127241,4.676002014657335,4.298934471878166,4.26146311969458,3.423091051205152,3.995529161282228,4.156179876418437,3.945948588685932,3.544780185881689,2.94357889615077,3.74995936388464,3.740981457819757,3.6014812508013803,2.5928032469500746,3.521429688525155,3.2913348447802813,5.94433256010609,6.040882614531217,5.97776480846874,5.720426227315033,6.239753502056859,5.674071153071233,6.331210328948184,6.221024632271417,6.231817257562667,6.062136790392116,5.635532020995295,5.75638742623213,4.956595457490456,4.276101851490783,4.189586314004204,3.7929508566926247,3.77077190641311,3.754642623860092,4.34905098789353
SAOUHSC_00014,7.950533714585245,7.955772315840181,8.357584246534588,8.008374851057464,8.40160823999063,8.335117157001557,8.468202674135185,8.205802443964828,8.448324749857111,8.569277171472402,8.532766603356476,8.40790403525096,8.490678974213733,8.659378862277752,8.518063092541647,8.523988638000917,8.47382278146461,8.40556840237455,8.723260502105797,8.602923791693568,8.40686141308472,8.441949167255839,8.486692561128669,7.879293156987201,8.371596022591405,8.361877833068135,8.380839354031313,8.423075731825174,8.60096249318118,8.320504319999362,8.054507477924792,7.710165583210952,8.114250325124535,7.829996918648985,8.139660537385792,7.403181109521361,7.456200770915391,7.369433299236029,8.215256399335427,8.186665442660592,7.791122183099365,7.993825409493234,8.010269151592722,7.784574996297807,7.404527198279808,7.990266896004715,7.93549481836415,8.198420940702736,7.6046089657477935,7.564665361573686,7.702362048251956,8.544028924685017,8.158499788661846,7.6375157148102035,7.543556967616053,7.077280915678164,8.453628270795889,8.39631487614523,8.549183828940361,8.02777571347127,8.439123099906512,7.996892932253934,8.486461005112439,8.557180363118373,8.379911166080733,8.417208612126192,7.957491894996013,8.435023217946748,6.580022708260264,5.941273482755363,6.441930846814136,8.130242411663149,8.099543491055025,7.52317934849111,7.716672958960365
SAOUHSC_00015,8.576087212815596,8.479693649517456,8.732450274317733,8.779525119193789,8.603248948638903,8.868472095324925,8.912255666763407,8.6385125515732,8.6751740684405,8.891474405389294,8.777714373061283,8.90483300094571,8.791419800361453,8.849522994793556,8.974715909969161,8.891087974187773,8.906860019499128,8.874426772919406,8.97228711235307,8.971099142964418,8.815499768229039,8.9953897074238,8.825280187375501,8.716991608321422,8.749275219538562,8.813213052725185,9.253749402692788,9.286548333254135,8.492018382997351,8.483916713802333,8.798562331545686,8.680054370108396,8.902744755415721,8.89173113495546,8.898280807096683,8.555609596168091,8.601760907980283,8.54627915257084,9.521182087796667,9.288203466128344,8.823830557180242,8.935323962512303,8.90819528379382,8.712077316805006,8.47893838274533,8.81161007930863,8.822118802463986,9.094455629256306,8.782480349302661,8.604364108939125,8.737896979482057,9.032024977223,8.82844917457129,8.167284252428118,8.485699970896544,7.83680114075248,8.510917336204068,8.558467757907872,8.554823281198594,8.461460273725644,8.738214479849674,8.448202484974853,8.71971795008961,8.929154163587155,8.779386993625799,8.527496124857727,8.136410272663714,8.395798542209889,8.193893461891006,7.954348783482394,8.17250815861511,8.434048133686904,8.515302958003977,8.053481356654643,8.253605345114789
SAOUHSC_00017,8.955623341561862,8.936607004546348,9.22543418394211,8.946521852614275,8.863421919244129,9.072025624059012,9.053194917553508,8.916708348256547,8.852288227490103,9.103315387329047,8.907616246881524,9.001582064490387,8.896859578348336,9.099843709648576,9.031468067083075,8.865675441635904,8.926930155275748,9.015927106764895,8.924289829831341,9.205542139795588,8.98046480991657,9.270254929108551,9.123975035337946,9.145956066310326,9.240937355722735,9.20732444187402,9.6819604624601,9.65800080453424,10.489928016280142,10.411070940696264,9.435477806085252,9.192925804878472,9.60307741885942,9.30371944885161,9.317520486158752,8.504057667740284,8.510892799997212,8.463209070179722,8.670967022136637,8.387643654285084,9.044447909567394,8.955366360573187,9.063136081734182,8.925710235721414,9.014232989881153,9.328281651962502,9.290339116469555,9.516109442783248,9.324076431221004,9.257404295116904,9.294765697080908,9.48710271106106,9.246456401957357,8.451028246222814,8.915637829405918,8.266461670847685,8.93591596074641,9.10498968911634,8.958854756871911,8.993120434009798,9.20367564364072,9.43918724518502,9.511375155049194,9.354184622986788,9.278336134059645,9.128840450157236,8.6124271142298,8.917302203610245,9.051040938310337,8.924527980967996,8.849180581257714,8.87930156842777,9.020491811958768,8.803002109514646,9.049673658014829
SAOUHSC_00018,9.514305024872982,9.18016285273349,9.257592596050747,9.419746999056375,8.940743544593083,9.183904944425011,9.31784807814884,9.081672159527576,9.138339621777362,9.173351139393578,8.977685249657975,9.025227001076258,9.162830602761428,9.1598479665543,9.050771411247531,9.220358750573656,9.08748887940067,9.003314829706614,9.021047850719556,9.353702842440924,8.994077456940685,9.146682346507108,9.040372107830448,8.914985799529367,9.023385230217562,9.006808172793669,9.094982671325322,9.098824949351574,8.850282948019832,8.760782728470815,9.472715158840076,9.076499012575017,9.505954816849082,9.403032528281203,9.365941774703726,8.44303512735929,8.512453690304431,8.478967501194141,9.307867837559034,8.92759565504969,8.903914297409083,8.68958022879212,8.727243699885788,8.845285202869544,8.616520967963082,8.871390141885147,8.816759699347266,9.08509564071772,8.926883041107343,8.650984595485209,8.759004413708356,8.309563135841952,8.0895736990819,7.000578820136982,7.707853964289685,7.14770969103528,8.299366214078884,8.423125034348109,8.336768369996722,8.497230416504864,8.764595787733057,8.604140796848986,8.582379880908514,8.744932723266954,8.638736749128437,8.260314569871083,7.905501930263723,7.964799565143157,8.518923147762319,8.246812964056938,8.521154211233712,8.119951973585398,8.280337714295314,7.464693049804841,7.712717409623333
SAOUHSC_00019,4.620241900604429,4.052147587638447,4.718625234853936,5.07131191702281,3.756653971187392,4.50091692870803,4.472879002232138,6.8644097692567145,6.734394231784478,5.239441755294014,5.192520779073469,5.352549002452075,5.047657880043327,5.260064080812245,5.437108102542255,5.430516410043646,5.1717073383927055,5.256048012234287,5.318334249140194,5.1325484195653095,4.631261612007443,4.83508222797458,4.930186484169632,5.089348896552551,5.312817381204975,4.956490915086645,6.78588447119497,6.873403119835754,7.622813783091744,7.308671053377801,5.267830757509143,5.400045730052871,6.131911967385404,5.686928361511451,5.83211965989077,5.845135648671366,6.004745855302827,5.958764745637057,6.666186595571631,7.179353855850477,7.446905365810971,7.2008219478820505,6.988654486544683,7.244483998942607,7.087342822418943,6.7801750043853,6.570364714086322,7.223508298697681,7.141981002355353,6.415894385187583,6.836252498439608,4.294660599793134,3.033360674270688,3.122814626096527,2.8863929058218134,2.65459168392483,4.312047587872127,4.468826923520703,3.941498071614811,4.229142969141601,4.362779033843117,4.203734271838498,4.443776168777829,4.374080331008193,4.420030464580233,4.215091524791792,4.27656665770041,4.008001503326382,5.203421048997049,4.611376879202558,4.790207811304684,8.119891770738315,8.266633788454374,10.719109358209018,11.02557718399382
SAOUHSC_00020,9.449824375380242,9.4444322711351,8.984530138837176,9.373517645461533,8.849121551771537,9.113686462403471,9.403019300957322,9.762013757502364,9.650115702574476,8.68416071910068,8.427089252314248,8.513782597544227,8.767395054276934,8.700714734498167,8.483247745936762,8.822946808469393,8.48336180830308,8.767985825362262,8.413887667903467,8.75857532132569,8.625787768170516,9.212814147658944,8.974352409639225,9.116932338591315,8.938936826425975,9.049875019125952,8.372758052483162,8.44565968612342,8.325539202454811,8.529564248387873,9.199101872392667,8.934346458167015,9.060813509611386,8.912199537488618,9.024741497317288,8.94840589490086,8.988800980183294,8.974643967737553,8.828330610787622,8.45288003798487,7.7876268021102835,7.520698514301642,7.68879560388074,7.743445435589035,7.758000206994765,7.870511329258595,7.997963667194139,8.283597126550974,8.24354966137761,7.728840957931377,7.734838131758224,8.483198712252575,8.065758686732272,7.660529775416156,8.021830822531456,7.670762272831221,7.212820312497146,7.228662460783942,7.390191942141775,7.321267044948425,7.50978681501871,7.667977918953811,7.541085615353376,7.538894689631053,7.555270043214861,7.284901350257845,6.93706784134401,7.29159308981702,8.0409490055994,7.627469916055805,7.965498356860914,7.812145260589815,8.001920085869866,7.659242390842618,8.025398603728759
SAOUHSC_00021,8.33466079727351,8.036049276370848,8.164265083441894,8.27579531828901,8.34301616919157,8.631000681814598,8.785232980632665,8.542751122083413,8.618138856247834,8.263423952215401,8.07966479264563,8.275009246551832,8.256055551187583,8.054345065010581,8.322906646848784,8.170084530310628,8.23828268192998,8.31064946374049,8.116892893442769,8.188120544885278,8.268646860412497,8.34607208482638,8.450479618180061,8.410022769051519,8.35873504272258,8.420658874886577,8.18741250799048,8.215419654137214,8.070576024835015,7.9631198474442435,8.380377665831963,8.239090291808225,8.408025327199477,8.46232867434849,8.49772341819185,8.45112633688563,8.479591319704666,8.484618815267435,7.854226992392724,7.688809284677281,7.687632410387759,7.417085423187116,7.456854356764651,7.581364388352829,7.63053085134829,7.761326733029032,7.779288983785326,7.985884122751624,7.957813295881211,7.43692003476879,7.192950561388878,7.605463336544222,7.48726665557379,7.047330474492801,7.511512404820221,7.30768022218731,6.062156659029832,6.326454805869842,6.161816073302434,6.084270734512808,6.231842418262881,6.587733767491105,6.421279123847308,6.289244724545261,6.336377435383816,6.333900773585469,5.859709202535412,6.207775478061504,8.049403261091982,7.735294721258763,8.060612009976005,7.693819323390141,7.814453728045966,7.623443308566017,7.862056145699208
SAOUHSC_00022,8.203857536510885,7.734772191305653,8.273458509786407,8.055551622803954,8.142730709499016,8.599649569256012,8.695288886754282,8.33143285541865,8.404076813425437,8.26145208192185,8.191046834661638,8.401844212036387,8.334911994908293,8.140121966766037,8.450874237498326,8.360772790146221,8.37436078874871,8.246797511307937,8.221462758295171,8.367374476332163,8.308651515294981,8.657149132204292,8.520118765775084,8.57014515452175,8.644738767764597,8.428029643379677,8.34358742864323,8.306121971294903,8.081403707518454,7.994739114840016,8.257695756657943,7.921981736157455,8.284596818747893,8.427659090239686,8.31096666904267,8.16931219769412,8.194271926501628,8.151640810375252,7.706070117297011,7.749371938429267,8.13518277240714,7.937225578292928,7.977799820320255,7.979208532766695,8.032579376147257,8.146602869699205,8.32953164623194,8.356072768853146,8.449953099309583,7.70522930449634,7.558354845839778,7.558801932300536,7.558229935865397,6.9719102408095965,7.4723257590160195,7.3788944354065,6.695431618405486,6.650710811479217,6.581712615056043,6.702041605687173,6.840756816753567,6.913266762774404,6.9680393451805065,6.895641279701441,6.897083337057983,6.7611009487468845,6.339777385667761,6.581571366947227,8.359856494847937,8.125054144317406,8.36380187537778,7.729052546355096,7.83956877313059,7.841124294912334,8.037673667236332
SAOUHSC_00023,8.731682446470662,8.613543049484077,8.89925976171528,8.64080843228486,8.644702761706128,8.726668837434403,8.904521658876785,9.148956409926836,8.820302253287217,8.707210018334786,8.394692001732325,8.352167060138605,8.737991939334979,8.63922701360366,8.533671913063468,8.870712030634149,8.623568637124768,8.472218334019816,8.515458949916448,8.685726418059625,8.4227400054328,8.845657047971805,8.554134800943897,8.520753222724796,8.650578090905169,8.214461436899072,7.103552446192086,7.030029833021388,8.612150133690823,8.517255898265235,8.404570910856659,8.14765950022573,8.4964601729428,8.518665416080248,8.527055470789572,7.668933976273479,7.684625830891725,7.67792641562189,8.521848056476275,8.370077818863898,7.983524442020919,7.994421193883077,7.911443651284818,7.956386435480044,8.107177482419388,8.264587615876117,8.161823151735181,8.422862502399726,8.343889422515495,7.7863852258122686,7.738522464534814,8.296275687790997,8.19231798860724,7.705780016541348,7.957658654239748,7.74809896362715,6.658773996508879,6.73498577236298,6.477304667656782,6.548590831373765,6.658845434210704,6.493086441781859,7.02206992741552,6.495837808203429,6.718596779545928,6.780480573284391,6.315489092897286,6.611429166447468,8.06423879219022,8.118468333087664,7.996348258957372,7.943556468327351,8.03949043525865,7.960663043264474,8.161422918568219
